title,year,rating,votes,runtime,certificate,genre,gross_total,different_ratings,star_rating
The Shawshank Redemption,1994,9.3,"3,168,010",142,R,Drama,$29.33M,9.3R,4 and a half stars
The Godfather,1972,9.2,"2,212,884",175,R,"Crime, Drama",$250.93M,9.2R,4 and a half stars
The Dark Knight,2008,9.1,"3,145,646",152,PG-13,"Action, Crime, Drama",$1008.48M,9.1PG-13,4 and a half stars
The Godfather Part II,1974,9.0,"1,486,878",202,R,"Crime, Drama",$48.20M,9.0R,4 and a half stars
12 Angry Men,1957,9.0,"977,359",96,Unrated,"Crime, Drama",$0.01M,9.0Unrated,4 and a half stars
The Lord of the Rings: The Return of the King,2003,9.0,"2,152,126",201,PG-13,"Adventure, Drama, Fantasy",$1148.97M,9.0PG-13,4 and a half stars
Schindler&apos;s List,1994,9.0,"1,577,558",195,R,"Biography, Drama, History",$322.16M,9.0R,4 and a half stars
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,"2,193,491",178,PG-13,"Adventure, Drama, Fantasy",$897.00M,8.9PG-13,4 stars
Pulp Fiction,1994,8.8,"2,421,067",154,R,"Crime, Drama",$213.93M,8.8R,4 stars
"Il buono, il brutto, il cattivo",1967,8.8,"887,227",178,R,"Adventure, Drama, Western",$25.27M,8.8R,4 stars
The Lord of the Rings: The Two Towers,2002,8.8,"1,945,026",179,PG-13,"Adventure, Drama, Fantasy",$944.74M,8.8PG-13,4 stars
Forrest Gump,1994,8.8,"2,479,948",142,PG-13,"Drama, Romance",$678.23M,8.8PG-13,4 stars
Fight Club,1999,8.8,"2,585,212",139,R,"Crime, Drama, Thriller",$101.32M,8.8R,4 stars
Inception,2010,8.8,"2,796,318",148,PG-13,"Action, Adventure, Sci-Fi",$839.79M,8.8PG-13,4 stars
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,"1,496,595",124,PG,"Action, Adventure, Fantasy",$550.02M,8.7PG,4 stars
The Matrix,1999,8.7,"2,233,701",136,R,"Action, Sci-Fi",$473.33M,8.7R,4 stars
GoodFellas,1990,8.7,"1,382,099",145,R,"Biography, Crime, Drama",$47.08M,8.7R,4 stars
Interstellar,2014,8.7,"2,496,091",169,PG-13,"Adventure, Drama, Sci-Fi",$773.86M,8.7PG-13,4 stars
One Flew Over the Cuckoo&apos;s Nest,1975,8.6,"1,152,486",133,R,Drama,$109.13M,8.6R,4 stars
Se7en,1995,8.6,"2,006,146",127,R,"Crime, Drama, Mystery",$329.81M,8.6R,4 stars
It&apos;s a Wonderful Life,1947,8.6,"552,664",130,PG,"Drama, Family, Fantasy",$11.50M,8.6PG,4 stars
The Silence of the Lambs,1991,8.6,"1,711,212",118,R,"Crime, Drama, Horror",$272.74M,8.6R,4 stars
Shichinin no samurai,1956,8.6,"400,179",207,Unrated,"Action, Drama",$1.09M,8.6Unrated,4 stars
Saving Private Ryan,1998,8.6,"1,628,543",169,R,"Drama, War",$482.35M,8.6R,4 stars
The Green Mile,1999,8.6,"1,551,508",189,R,"Crime, Drama, Fantasy",$286.80M,8.6R,4 stars
Cidade de Deus,2004,8.6,"866,611",130,R,"Crime, Drama",$30.69M,8.6R,4 stars
La vita è bella,1997,8.6,"808,265",116,PG-13,"Comedy, Drama, Romance",$230.10M,8.6PG-13,4 stars
Terminator 2: Judgment Day,1991,8.6,"1,277,496",137,R,"Action, Adventure, Sci-Fi",$517.78M,8.6R,4 stars
Star Wars,1977,8.6,"1,561,809",121,PG,"Action, Adventure, Fantasy",$775.40M,8.6PG,4 stars
Back to the Future,1985,8.5,"1,442,692",116,PG,"Adventure, Comedy, Sci-Fi",$392.98M,8.5PG,4 stars
Sen to Chihiro no kamikakushi,2003,8.6,"959,384",124,PG,"Animation, Adventure, Family",$360.18M,8.6PG,4 stars
The Pianist,2003,8.5,"1,006,347",150,R,"Biography, Drama, Music",$120.10M,8.5R,4 stars
Gladiator,2000,8.5,"1,837,102",155,R,"Action, Adventure, Drama",$465.52M,8.5R,4 stars
Gisaengchung,2019,8.5,"1,150,711",132,R,"Drama, Thriller",$262.55M,8.5R,4 stars
Hotaru no haka,1989,8.5,"380,478",88,Unrated,"Animation, Drama, War",$4.70M,8.5Unrated,4 stars
Psycho,1960,8.5,"781,795",109,R,"Drama, Horror, Mystery",$32.27M,8.5R,4 stars
The Lion King,1994,8.5,"1,251,328",88,G,"Animation, Adventure, Drama",$979.16M,8.5G,4 stars
Seppuku,1964,8.6,"89,994",133,Unrated,"Drama, Mystery",$0.02M,8.6Unrated,4 stars
The Departed,2006,8.5,"1,545,064",151,R,"Crime, Drama, Thriller",$292.10M,8.5R,4 stars
Whiplash,2014,8.5,"1,143,440",106,R,"Drama, Music",$50.43M,8.5R,4 stars
The Prestige,2006,8.5,"1,576,959",130,PG-13,"Drama, Mystery, Sci-Fi",$109.68M,8.5PG-13,4 stars
Kill Bill: The Whole Bloody Affair,2025,8.8,"30,141",253,Unrated,"Action, Crime, Thriller",$6.72M,8.8Unrated,4 stars
American History X,1998,8.5,"1,267,862",119,R,"Crime, Drama",$23.88M,8.5R,4 stars
Léon,1994,8.5,"1,344,671",110,R,"Action, Crime, Drama",$20.33M,8.5R,4 stars
Spider-Man: Across the Spider-Verse,2023,8.5,"513,688",140,PG,"Animation, Action, Adventure",$690.82M,8.5PG,4 stars
Nuovo Cinema Paradiso,1990,8.5,"315,853",174,PG,"Drama, Romance",$13.50M,8.5PG,4 stars
Casablanca,1943,8.5,"653,074",102,PG,"Drama, Romance, War",$4.74M,8.5PG,4 stars
Intouchables,2011,8.5,"1,020,643",112,R,"Comedy, Drama",$426.59M,8.5R,4 stars
The Usual Suspects,1995,8.5,"1,232,633",106,R,"Crime, Drama, Mystery",$23.34M,8.5R,4 stars
Alien,1979,8.5,"1,058,161",117,R,"Horror, Sci-Fi",$109.51M,8.5R,4 stars
Django Unchained,2012,8.5,"1,870,222",165,R,"Drama, Western",$426.08M,8.5R,4 stars
Modern Times,1936,8.5,"284,271",87,G,"Comedy, Drama, Romance",$0.47M,8.5G,4 stars
Rear Window,1954,8.5,"566,914",112,PG,"Drama, Mystery, Thriller",$37.92M,8.5PG,4 stars
